"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 30 12:05:41 UTC 2024","Tue Jul 30 12:05:41 UTC 2024","464","/contacts","form","To be true sendForm Employee with fields","","","Set Employee Form with fields",""
"passed","Tue Jul 30 12:08:16 UTC 2024","Tue Jul 30 12:08:17 UTC 2024","611","/timesheet","PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup","Service Lines - Service notes are required","","","POST Service notes are required",""
"passed","Tue Jul 30 12:07:50 UTC 2024","Tue Jul 30 12:07:51 UTC 2024","718","/SchedulingOptimizationRegression","/C000010 Implement ""Optimize Schedule By""","","","","pre-request Create Appointment1",""
"passed","Tue Jul 30 12:01:56 UTC 2024","Tue Jul 30 12:01:56 UTC 2024","323","Auth","","","","","testGetToken",""
"passed","Tue Jul 30 12:05:41 UTC 2024","Tue Jul 30 12:05:41 UTC 2024","547","/external","payors","","","","pre-request POST - CreateClient4",""
"passed","Tue Jul 30 12:06:53 UTC 2024","Tue Jul 30 12:06:53 UTC 2024","299","/contacts","Tests for contacts.saveAddress","Test for user updating is a client (fail for unauthorized access)","","","auth",""
"passed","Tue Jul 30 12:12:58 UTC 2024","Tue Jul 30 12:12:58 UTC 2024","117","/SchedulingOptimizationRegression","/Incorporate Weekly and Daily Limits","","","","pre-request Add Primary Location to Employee2",""
"passed","Tue Jul 30 12:05:09 UTC 2024","Tue Jul 30 12:05:10 UTC 2024","679","/externalpartners","scheduling events","","","","pre-request POST - CreateAppointment",""
"passed","Tue Jul 30 12:04:18 UTC 2024","Tue Jul 30 12:04:18 UTC 2024","210","/SchedulingOptimizationRegression","/C611063 Verify Publishing Converted Appointment Changes","","","","test C611063 Open Draft Appointments",""
"passed","Tue Jul 30 12:07:44 UTC 2024","Tue Jul 30 12:07:45 UTC 2024","605","/timesheet","PRAC-1184 - Get Addresses data in a single endpoint","","","","GET Addresses data in a single endpoint",""
"passed","Tue Jul 30 12:09:18 UTC 2024","Tue Jul 30 12:09:18 UTC 2024","279","/timesheet","PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions","The appointment is no longer active","","","POST The appointment is no longer active",""
"passed","Tue Jul 30 12:10:32 UTC 2024","Tue Jul 30 12:10:32 UTC 2024","188","/contacts","connect ","connectSingle-employee-owner","","","pre-request Deactivate Client",""
